"Iteration","Tested_Variable","Current_Model_Formula","Bandwidth","AIC","AICc","R2","Status","Error_Msg","Status_Selected"
6,"gradient","count ~ closeness_centrality + parking_distance + elevation_max +      trail_density_400m + degree_centrality + gradient",150,72044.018669913,72167.3042561086,0.602466036618789,"ok",NA,"not_selected"
6,"Rural_settlement_distances","count ~ closeness_centrality + parking_distance + elevation_max +      trail_density_400m + degree_centrality + Rural_settlement_distances",150,NA,NA,Inf,"unstable_nonfinite_yhat",NA,"not_selected"
6,"Small_urban_distances","count ~ closeness_centrality + parking_distance + elevation_max +      trail_density_400m + degree_centrality + Small_urban_distances",150,NA,NA,Inf,"unstable_nonfinite_yhat",NA,"not_selected"
6,"toilets_distance","count ~ closeness_centrality + parking_distance + elevation_max +      trail_density_400m + degree_centrality + toilets_distance",150,NA,NA,Inf,"unstable_nonfinite_yhat",NA,"not_selected"
6,"eateries_distance","count ~ closeness_centrality + parking_distance + elevation_max +      trail_density_400m + degree_centrality + eateries_distance",150,NA,NA,Inf,"unstable_nonfinite_yhat",NA,"not_selected"
6,"distance_to_road","count ~ closeness_centrality + parking_distance + elevation_max +      trail_density_400m + degree_centrality + distance_to_road",150,NA,NA,Inf,"unstable_nonfinite_yhat",NA,"not_selected"
7,"gradient","count ~ closeness_centrality + parking_distance + elevation_max +      trail_density_400m + degree_centrality + elevation_range +      gradient",150,71845.3243492659,72010.1684922253,0.612156102239845,"ok",NA,"SELECTED"
7,"Rural_settlement_distances","count ~ closeness_centrality + parking_distance + elevation_max +      trail_density_400m + degree_centrality + elevation_range +      Rural_settlement_distances",150,3004089789.47404,3003777950.08089,62.8210510416847,"ok",NA,"not_selected"
7,"Small_urban_distances","count ~ closeness_centrality + parking_distance + elevation_max +      trail_density_400m + degree_centrality + elevation_range +      Small_urban_distances",150,NA,NA,Inf,"unstable_nonfinite_yhat",NA,"not_selected"
7,"toilets_distance","count ~ closeness_centrality + parking_distance + elevation_max +      trail_density_400m + degree_centrality + elevation_range +      toilets_distance",150,NA,NA,Inf,"unstable_nonfinite_yhat",NA,"not_selected"
7,"eateries_distance","count ~ closeness_centrality + parking_distance + elevation_max +      trail_density_400m + degree_centrality + elevation_range +      eateries_distance",150,NA,NA,Inf,"unstable_nonfinite_yhat",NA,"not_selected"
7,"distance_to_road","count ~ closeness_centrality + parking_distance + elevation_max +      trail_density_400m + degree_centrality + elevation_range +      distance_to_road",150,NA,NA,Inf,"unstable_nonfinite_yhat",NA,"not_selected"
